# 대체 실습 데이터 — 앱스토어/플레이스토어 리뷰 60건 (2026년 2분기)
# 가상의 배달 서비스 "빈살롱 딜리버리"를 대상으로 교육용으로 만든 데이터입니다. 실제 고객 데이터가 아닙니다.
# 형식: 날짜 | 스토어 | 앱 버전 | 별점 | 리뷰 내용

2026-04-02 | 앱스토어 | 3.1.4 | ★5 | 주문한 지 18분 만에 도착했어요. 국물 요리인데 하나도 안 새서 놀랐습니다.
2026-04-03 | 플레이스토어 | 3.1.4 | ★1 | 쿠폰 적용된다고 표시돼서 골랐는데 결제하니 정가로 빠져나갔어요. 이번 달에 벌써 두 번째입니다.
2026-04-04 | 플레이스토어 | 3.1.4 | ★2 | 배달원이 도착했다고 알림이 왔는데 25분을 기다려도 안 왔어요. 전화도 안 받습니다.
2026-04-05 | 앱스토어 | 3.1.4 | ★4 | 메뉴 사진이랑 실제 양이 비슷해서 좋았어요. 다만 포장 용기가 좀 얇습니다.
2026-04-06 | 앱스토어 | 3.1.4 | ★3 | 맛은 만족인데 배달비가 매번 달라져요. 어떤 기준으로 붙는지 앱에 설명이 없습니다.
2026-04-08 | 플레이스토어 | 3.1.5 | ★1 | 결제는 승인 문자까지 왔는데 주문 내역에는 아무것도 안 떠요. 돈만 나가고 주문은 안 잡힌 상태입니다.
2026-04-09 | 앱스토어 | 3.1.5 | ★5 | 예상 도착 시간이 정확해서 좋아요. 다른 앱보다 예측이 잘 맞습니다.
2026-04-10 | 플레이스토어 | 3.1.5 | ★2 | 고객센터 채팅에 문의했는데 챗봇만 계속 돌고 상담원 연결이 안 됩니다.
2026-04-11 | 앱스토어 | 3.1.5 | ★4 | 리뷰 이벤트 참여하려는데 사진 업로드가 두 번 실패했어요. 그것만 빼면 만족합니다.
2026-04-12 | 플레이스토어 | 3.1.5 | ★1 | 환불 요청한 지 6일째인데 아직 처리 안 됐어요. 진행 상황을 볼 수 있는 화면도 없습니다.
2026-04-13 | 앱스토어 | 3.1.5 | ★5 | 포장이 꼼꼼했고 스티커로 밀봉까지 되어 있어서 안심했어요. 재주문할 생각입니다.
2026-04-15 | 플레이스토어 | 3.1.5 | ★2 | 메뉴에 품절이라고 떠 있던 옵션이 실제로는 판매 중이었어요. 정보가 안 맞습니다.
